ML Catalog #,Format,Scientific Name,Common Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,State,County,Locality,Latitude,Longitude,Elevation (m),Age/Sex,Behaviors,Playback,Collected,Specimen ID,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed?,Air Temp,Water Temp,Comments,Observation Details,Class,Order,Family,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2 Display Name,Recordist 2 Profile URL,Average Community Rating,Number of Ratings,Asset State,Asset Tags,Contributor Profile URL,Original Image Height,Original Image Width,Specimen Page URL,eBird Checklist URL,ebird Species URL
88180561,Photo,Cyanocitta cristata,Blue Jay,,Barry Blust,3/3/18,2018,3,3,713,United States,Pennsylvania,Chester,"Yard @ 21 Rabbit Run Lane, Glenmoore",40.101,-75.731,,Unknown,,Not Used,,,,,,,S43330788,,,,,,,,,Cyanocitta cristata,blujay,Species,20207,,,4.333333333,24,committed,,https://ebird.org/profile/NjU1Mw,3712,5568,https://macaulaylibrary.org/asset/88180561,https://ebird.org/view/checklist/S43330788,https://ebird.org/species/blujay
84446201,Photo,Cyanocitta cristata,Blue Jay,,Cathy Pondelicek,1/25/18,2018,1,25,1000,United States,Illinois,DuPage,"Pershing Ave/Blanchard St Downers Grove, Illinois",41.782,-88.0357,,Unknown,,Not Used,,,,,,,S42460277,,,,,,,,,Cyanocitta cristata,blujay,Species,18831,,,4.151515152,33,committed,,https://ebird.org/profile/Nzc2NTU2,,,https://macaulaylibrary.org/asset/84446201,https://ebird.org/view/checklist/S42460277,https://ebird.org/species/blujay
83766061,Photo,Cyanocitta cristata,Blue Jay,,David Beadle,1/27/18,2018,1,27,1400,Canada,Ontario,Durham,Whitby--Lynde Shores Conservation Area,43.8492,-78.9636,,Unknown,,Not Used,,,,,,,S42322940,,,,,,,,,Cyanocitta cristata,blujay,Species,18831,,,5,5,committed,,https://ebird.org/profile/MzQwODUx,3438,5076,https://macaulaylibrary.org/asset/83766061,https://ebird.org/view/checklist/S42322940,https://ebird.org/species/blujay
107834731,Photo,Cyanocitta cristata,Blue Jay,,Anthony Watson,5/10/18,2018,5,10,1230,United States,Wisconsin,Milwaukee,Wehr Nature Center,42.9266,-88.0345,,Adult Male,,Not Used,,,,,,,S47268001,,,,,,,,,Cyanocitta cristata,blujay,Species,18831,,,4.5,6,committed,,https://ebird.org/profile/MTExODA1MQ,1694,1355,https://macaulaylibrary.org/asset/107834731,https://ebird.org/view/checklist/S47268001,https://ebird.org/species/blujay
88505111,Photo,Cyanocitta cristata,Blue Jay,,Yves Dugré,3/3/18,2018,3,3,605,Canada,Quebec,La Tuque,Zec wessonneau - secteur lac Latour,47.1544,-73.0446,,Unknown,,Not Used,,,,,,,S43351561,,,,,,,,,Cyanocitta cristata,blujay,Species,20207,,,4,10,committed,,https://ebird.org/profile/Mzc1Njk1,1595,2001,https://macaulaylibrary.org/asset/88505111,https://ebird.org/view/checklist/S43351561,https://ebird.org/species/blujay
91097501,Photo,Cyanocitta cristata,Blue Jay,,Douglas Gimler,3/21/18,2018,3,21,1015,United States,Vermont,Essex,Victory Basin North,44.5462,-71.7835,,Unknown,,Not Used,,,,,,,S43908245,,,,,,,,,Cyanocitta cristata,blujay,Species,18831,,,5,4,committed,,,1200,944,https://macaulaylibrary.org/asset/91097501,https://ebird.org/view/checklist/S43908245,https://ebird.org/species/blujay
120226251,Photo,Cyanocitta cristata,Blue Jay,,Brad Imhoff,10/23/18,2018,10,23,1034,United States,Ohio,Licking,Pinetree Drive,40.0923,-82.4816,,Unknown,,Not Used,,,,,,,S49399447,,,,,,,,,Cyanocitta cristata,blujay,Species,20207,,,5,4,committed,,https://ebird.org/profile/NDEwNzAz,,,https://macaulaylibrary.org/asset/120226251,https://ebird.org/view/checklist/S49399447,https://ebird.org/species/blujay
91097511,Photo,Cyanocitta cristata,Blue Jay,,Douglas Gimler,3/21/18,2018,3,21,1015,United States,Vermont,Essex,Victory Basin North,44.5462,-71.7835,,Unknown,,Not Used,,,,,,,S43908245,,,,,,,,,Cyanocitta cristata,blujay,Species,18831,,,4.6,5,committed,,,1200,955,https://macaulaylibrary.org/asset/91097511,https://ebird.org/view/checklist/S43908245,https://ebird.org/species/blujay
86280571,Photo,Cyanocitta cristata,Blue Jay,,Mary Brown,2/17/18,2018,2,17,805,United States,New Mexico,Los Alamos,Pinon Park,35.8242,-106.2132,,Unknown,,Not Used,,,,,,,S42888038,,,,,Regular visitor this winter.,,,,Cyanocitta cristata,blujay,Species,20207,,,4.75,4,committed,,,3020,4043,https://macaulaylibrary.org/asset/86280571,https://ebird.org/view/checklist/S42888038,https://ebird.org/species/blujay
85418921,Photo,Cyanocitta cristata,Blue Jay,,Michael Hatton,2/1/18,2018,2,1,956,Canada,Ontario,Muskoka,Leonard Lake - Yard List,45.0762,-79.4537,,Adult,,Not Used,,,,,,,S42408797,,,,,A party of 10 all visible at one glance.,,,,Cyanocitta cristata,blujay,Species,18831,,,4.75,4,committed,multiple_species,https://ebird.org/profile/NDMxNjU3,1920,2872,https://macaulaylibrary.org/asset/85418921,https://ebird.org/view/checklist/S42408797,https://ebird.org/species/blujay
