ML Catalog #,Format,Scientific Name,Common Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,State,County,Locality,Latitude,Longitude,Elevation (m),Age/Sex,Behaviors,Playback,Collected,Specimen ID,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed?,Air Temp,Water Temp,Comments,Observation Details,Class,Order,Family,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2 Display Name,Recordist 2 Profile URL,Average Community Rating,Number of Ratings,Asset State,Asset Tags,Contributor Profile URL,Original Image Height,Original Image Width,Specimen Page URL,eBird Checklist URL,ebird Species URL
101886681,Photo,Aphelocoma californica,California Scrub-Jay,,Ian Hearn,4/26/18,2018,4,26,722,United States,Oregon,Deschutes,Coyote Ranch (Private),44.2336,-121.2359,,Adult Male,,Not Used,,,,,,,S44959207,,,,,,,,,Aphelocoma californica,cowscj1,Species,20216,,,4.294117647,17,committed,,https://ebird.org/profile/ODI2MTgy,3000,4000,https://macaulaylibrary.org/asset/101886681,https://ebird.org/view/checklist/S44959207,https://ebird.org/species/cowscj1
120348931,Photo,Aphelocoma californica,California Scrub-Jay,,Rebecca Matsubara,10/23/18,2018,10,23,822,United States,California,Contra Costa,Sobrante Ridge Regional Park,37.9643,-122.2586,,Adult,,Not Used,,,,,,,S49396719,,,,,,,,,Aphelocoma californica,cowscj1,Species,20216,,,4.857142857,7,committed,,https://ebird.org/profile/NzkyMjQ3,1636,2455,https://macaulaylibrary.org/asset/120348931,https://ebird.org/view/checklist/S49396719,https://ebird.org/species/cowscj1
97556621,Photo,Aphelocoma californica,California Scrub-Jay,,Ian Hearn,4/26/18,2018,4,26,722,United States,Oregon,Deschutes,Coyote Ranch (Private),44.2336,-121.2359,,Adult Male,,Not Used,,,,,,,S44959207,,,,,,,,,Aphelocoma californica,cowscj1,Species,20216,,,5,5,committed,,https://ebird.org/profile/ODI2MTgy,3000,4000,https://macaulaylibrary.org/asset/97556621,https://ebird.org/view/checklist/S44959207,https://ebird.org/species/cowscj1
87501201,Photo,Aphelocoma californica,California Scrub-Jay,,Herb Elliott,2/25/18,2018,2,25,1111,United States,California,San Luis Obispo,Sweet Springs Nature Preserve,35.3217,-120.8423,,Unknown,,Not Used,,,,,,,S43193076,,,,,,,,,Aphelocoma californica,cowscj1,Species,20216,,,4.8,5,committed,,,2583,3870,https://macaulaylibrary.org/asset/87501201,https://ebird.org/view/checklist/S43193076,https://ebird.org/species/cowscj1
97556631,Photo,Aphelocoma californica,California Scrub-Jay,,Ian Hearn,4/26/18,2018,4,26,722,United States,Oregon,Deschutes,Coyote Ranch (Private),44.2336,-121.2359,,Adult Male,,Not Used,,,,,,,S44959207,,,,,,,,,Aphelocoma californica,cowscj1,Species,18840,,,5,4,committed,,https://ebird.org/profile/ODI2MTgy,3000,4000,https://macaulaylibrary.org/asset/97556631,https://ebird.org/view/checklist/S44959207,https://ebird.org/species/cowscj1
97556611,Photo,Aphelocoma californica,California Scrub-Jay,,Ian Hearn,4/26/18,2018,4,26,722,United States,Oregon,Deschutes,Coyote Ranch (Private),44.2336,-121.2359,,Adult Male,,Not Used,,,,,,,S44959207,,,,,,,,,Aphelocoma californica,cowscj1,Species,18840,,,5,4,committed,,https://ebird.org/profile/ODI2MTgy,3000,4000,https://macaulaylibrary.org/asset/97556611,https://ebird.org/view/checklist/S44959207,https://ebird.org/species/cowscj1
94397071,Photo,Aphelocoma californica,California Scrub-Jay,,Albert Linkowski,4/13/18,2018,4,13,1817,United States,California,Contra Costa,Brazil Quarry Park,37.9609,-121.9694,,Unknown,,Not Used,,,,,,,S44547409,,,,,,,,,Aphelocoma californica,cowscj1,Species,18840,,,4.333333333,6,committed,,https://ebird.org/profile/Mjg1MDI2,2692,3747,https://macaulaylibrary.org/asset/94397071,https://ebird.org/view/checklist/S44547409,https://ebird.org/species/cowscj1
94397081,Photo,Aphelocoma californica,California Scrub-Jay,,Albert Linkowski,4/13/18,2018,4,13,1817,United States,California,Contra Costa,Brazil Quarry Park,37.9609,-121.9694,,Unknown,,Not Used,,,,,,,S44547409,,,,,,,,,Aphelocoma californica,cowscj1,Species,18840,,,4.4,5,committed,,https://ebird.org/profile/Mjg1MDI2,2294,2599,https://macaulaylibrary.org/asset/94397081,https://ebird.org/view/checklist/S44547409,https://ebird.org/species/cowscj1
94397091,Photo,Aphelocoma californica,California Scrub-Jay,,Albert Linkowski,4/13/18,2018,4,13,1817,United States,California,Contra Costa,Brazil Quarry Park,37.9609,-121.9694,,Unknown,,Not Used,,,,,,,S44547409,,,,,,,,,Aphelocoma californica,cowscj1,Species,18840,,,4.166666667,6,committed,,https://ebird.org/profile/Mjg1MDI2,2444,2964,https://macaulaylibrary.org/asset/94397091,https://ebird.org/view/checklist/S44547409,https://ebird.org/species/cowscj1
115265381,Photo,Aphelocoma californica,California Scrub-Jay,,John Chapple,9/16/18,2018,9,16,852,United States,California,San Bernardino,Buckhorn Lodge,34.2387,-117.6551,,Unknown,,Not Used,,,,,,,S48552320,,,,,,,,,Aphelocoma californica,cowscj1,Species,20216,,,3.888888889,9,committed,,https://ebird.org/profile/NjYzMTgx,2346,2398,https://macaulaylibrary.org/asset/115265381,https://ebird.org/view/checklist/S48552320,https://ebird.org/species/cowscj1
97556731,Photo,Aphelocoma californica,California Scrub-Jay,,Ian Hearn,4/26/18,2018,4,26,722,United States,Oregon,Deschutes,Coyote Ranch (Private),44.2336,-121.2359,,Adult Male,,Not Used,,,,,,,S44959207,,,,,,,,,Aphelocoma californica,cowscj1,Species,18840,,,4.5,4,committed,,https://ebird.org/profile/ODI2MTgy,3000,4000,https://macaulaylibrary.org/asset/97556731,https://ebird.org/view/checklist/S44959207,https://ebird.org/species/cowscj1
91110181,Photo,Aphelocoma californica,California Scrub-Jay,,John Garrett,3/20/18,2018,3,20,820,United States,California,Los Angeles,S. Mentor Ave,34.1336,-118.1315,,Unknown,,Not Used,,,,,,,S43824130,,,,,,,,,Aphelocoma californica,cowscj1,Species,18840,,,4.5,4,committed,,https://ebird.org/profile/MTM4NTM2,3456,5184,https://macaulaylibrary.org/asset/91110181,https://ebird.org/view/checklist/S43824130,https://ebird.org/species/cowscj1
86433481,Photo,Aphelocoma californica,California Scrub-Jay,,Afton Kern,2/17/18,2018,2,17,1440,United States,California,Sacramento,Desmond rd-Bruceville rd,38.2759,-121.4308,,Unknown,,Not Used,,,,,,,S42933236,,,,,,,,,Aphelocoma californica,cowscj1,Species,20216,,,5,3,committed,,https://ebird.org/profile/NTMwNDU5,3245,3070,https://macaulaylibrary.org/asset/86433481,https://ebird.org/view/checklist/S42933236,https://ebird.org/species/cowscj1
86865361,Photo,Aphelocoma californica,California Scrub-Jay,,Sue Gragg,2/20/18,2018,2,20,1205,United States,California,Sonoma,Crane Creek Regional Park,38.3442,-122.6445,,Unknown,,Not Used,,,,,,,S43050904,,,,,,,,,Aphelocoma californica,cowscj1,Species,20216,,,4.666666667,3,committed,,,1721,2581,https://macaulaylibrary.org/asset/86865361,https://ebird.org/view/checklist/S43050904,https://ebird.org/species/cowscj1
103933281,Photo,Aphelocoma californica,California Scrub-Jay,,Jamie Chavez,6/10/18,2018,6,10,1047,United States,California,Santa Barbara,Orcutt Community Park,34.8519,-120.4222,,Adult,,Not Used,,,,,,,S46448325,,,,"California Scrub-Jay at Orcutt Community Park, Orcutt, CA",Two recent fledglings under the care of a parent bird. Capable of flight but constantly calling and following the adult bird around,,,,Aphelocoma californica,cowscj1,Species,18840,,,4,4,committed,,https://ebird.org/profile/MjExMDE,1333,2000,https://macaulaylibrary.org/asset/103933281,https://ebird.org/view/checklist/S46448325,https://ebird.org/species/cowscj1
88846881,Photo,Aphelocoma californica,California Scrub-Jay,,Andrew Johnson,3/5/18,2018,3,5,850,United States,California,Sacramento,William Land Park,38.5395,-121.4991,,Adult,,Not Used,,,,,,,S43468208,,,,,,,,,Aphelocoma californica,cowscj1,Species,20216,,,4.333333333,3,committed,,,3096,2162,https://macaulaylibrary.org/asset/88846881,https://ebird.org/view/checklist/S43468208,https://ebird.org/species/cowscj1
87925741,Photo,Aphelocoma californica,California Scrub-Jay,,Kent Leland,2/28/18,2018,2,28,712,United States,California,Mendocino,Leland House property-1150 King Ranch Rd - 39.2237x-123  .1543,39.2237,-123.1543,,Adult,,Not Used,,,,,,,S43278189,,,,,,,,,Aphelocoma californica,cowscj1,Species,20216,,,4.333333333,3,committed,,,1803,2524,https://macaulaylibrary.org/asset/87925741,https://ebird.org/view/checklist/S43278189,https://ebird.org/species/cowscj1
87098701,Photo,Aphelocoma californica,California Scrub-Jay,,Herb Elliott,2/22/18,2018,2,22,727,United States,California,San Luis Obispo,Laguna Lake Park,35.2656,-120.6904,,Unknown,,Not Used,,,,,,,S43102976,,,,"California Scrub-Jay, Laguna Lake, San Luis Obispo County, California, US, February 22, 2018, Herb Elliott",,,,,Aphelocoma californica,cowscj1,Species,20216,,,4.333333333,3,committed,,,2582,3872,https://macaulaylibrary.org/asset/87098701,https://ebird.org/view/checklist/S43102976,https://ebird.org/species/cowscj1
87098611,Photo,Aphelocoma californica,California Scrub-Jay,,Herb Elliott,2/22/18,2018,2,22,727,United States,California,San Luis Obispo,Laguna Lake Park,35.2656,-120.6904,,Unknown,,Not Used,,,,,,,S43102976,,,,"California Scrub-Jay, Laguna Lake, San Luis Obispo County, California, US, February 22, 2018, Herb Elliott",,,,,Aphelocoma californica,cowscj1,Species,20216,,,4.333333333,3,committed,,,2585,3869,https://macaulaylibrary.org/asset/87098611,https://ebird.org/view/checklist/S43102976,https://ebird.org/species/cowscj1
84011741,Photo,Aphelocoma californica,California Scrub-Jay,,Petra Clayton,1/30/18,2018,1,30,1220,United States,California,San Luis Obispo,Laguna Lake Park,35.2656,-120.6904,,Unknown,,Not Used,,,,,,,S42375114,,,,,,,,,Aphelocoma californica,cowscj1,Species,18840,,,4.333333333,3,committed,,https://ebird.org/profile/NTM2OTc5,1702,2027,https://macaulaylibrary.org/asset/84011741,https://ebird.org/view/checklist/S42375114,https://ebird.org/species/cowscj1
83750181,Photo,Aphelocoma californica,California Scrub-Jay,,Diane Rose,1/28/18,2018,1,28,955,United States,California,Nevada,South Yuba River SP--Bridgeport area,39.2926,-121.1933,,Adult,,Not Used,,,,,,,S42318580,,,,,These jays are still scatter caching acorns.  Saw a couple acting a sentries near a site I know they have cached acorns.,,,,Aphelocoma californica,cowscj1,Species,18840,,,4.333333333,3,committed,,https://ebird.org/profile/MjUyMjg5,2510,3765,https://macaulaylibrary.org/asset/83750181,https://ebird.org/view/checklist/S42318580,https://ebird.org/species/cowscj1
82395721,Photo,Aphelocoma californica,California Scrub-Jay,,Karen Richardson,1/17/18,2018,1,17,1047,United States,California,Sacramento,Tanzanite Park,38.6326,-121.5105,,Unknown,,Not Used,,,,,,,S41997709,,,,,,,,,Aphelocoma californica,cowscj1,Species,18840,,,4.333333333,3,committed,,https://ebird.org/profile/NTkyNjYw,1850,2467,https://macaulaylibrary.org/asset/82395721,https://ebird.org/view/checklist/S41997709,https://ebird.org/species/cowscj1
86473541,Photo,Aphelocoma californica,California Scrub-Jay,,Ruth Gravance,2/18/18,2018,2,18,720,United States,California,Los Angeles,Crystalaire Country Club (private property),34.4711,-117.846,,Unknown,,Not Used,,,,,,,S42945104,,,,,,,,,Aphelocoma californica,cowscj1,Species,20216,,,4.333333333,3,committed,,https://ebird.org/profile/MjE0Njk1,2055,2438,https://macaulaylibrary.org/asset/86473541,https://ebird.org/view/checklist/S42945104,https://ebird.org/species/cowscj1
91443021,Photo,Aphelocoma californica,California Scrub-Jay,,Stephen Fettig,3/25/18,2018,3,25,942,United States,California,Sacramento,"CA Sacramento, City Cemetery",38.561,-121.5018,,Adult,,Not Used,,,,,,,S43972541,,,,CASJ.,,,,,Aphelocoma californica,cowscj1,Species,18840,,,5,2,committed,,,1152,1728,https://macaulaylibrary.org/asset/91443021,https://ebird.org/view/checklist/S43972541,https://ebird.org/species/cowscj1
89113661,Photo,Aphelocoma californica,California Scrub-Jay,,Herb Elliott,3/9/18,2018,3,9,655,United States,California,San Luis Obispo,Bob Jones Trail,35.1887,-120.7194,,Adult,,Not Used,,,,,,,S43523610,,,,"California Scrub-Jay, Bob Jones Trail, San Luis Obispo County, California, US, March 9, 2018, Herb Elliott",,,,,Aphelocoma californica,cowscj1,Species,18840,,,5,2,committed,,,2584,3868,https://macaulaylibrary.org/asset/89113661,https://ebird.org/view/checklist/S43523610,https://ebird.org/species/cowscj1
88295731,Photo,Aphelocoma californica,California Scrub-Jay,,Geoffrey Helmbold,3/3/18,2018,3,3,1422,United States,California,Shasta,Turtle Bay Bird Sanctuary,40.5909,-122.3705,,Adult,,Not Used,,,,,,,S43359086,,,,,,,,,Aphelocoma californica,cowscj1,Species,20216,,,5,2,committed,,https://ebird.org/profile/MzgyMTg5,3456,4608,https://macaulaylibrary.org/asset/88295731,https://ebird.org/view/checklist/S43359086,https://ebird.org/species/cowscj1
