ML Catalog #,Format,Scientific Name,Common Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,State,County,Locality,Latitude,Longitude,Elevation (m),Age/Sex,Behaviors,Playback,Collected,Specimen ID,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed?,Air Temp,Water Temp,Comments,Observation Details,Class,Order,Family,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2 Display Name,Recordist 2 Profile URL,Average Community Rating,Number of Ratings,Asset State,Asset Tags,Contributor Profile URL,Original Image Height,Original Image Width,Specimen Page URL,eBird Checklist URL,ebird Species URL
80051251,Photo,Aphelocoma coerulescens,Florida Scrub-Jay,,Oliver Burrus,1/1/18,2018,1,1,820,United States,Florida,Lee,FLSJ and BUOW spot,26.7003,-82.0026,,Unknown,,Not Used,,,,,,,S41493908,,,,,Pics. One landed on my head!,,,,Aphelocoma coerulescens,flsjay,Species,20214,,,4.833333333,6,committed,,https://ebird.org/profile/NjEyNzY5,3383,5074,https://macaulaylibrary.org/asset/80051251,https://ebird.org/view/checklist/S41493908,https://ebird.org/species/flsjay
86158331,Photo,Aphelocoma coerulescens,Florida Scrub-Jay,,Ian Gardner,2/8/18,2018,2,8,1243,United States,Florida,Brevard,Canaveral National Seashore--pay station area,28.645,-80.6826,,Unknown,,Not Used,,,,,,,S42595408,,,,,,,,,Aphelocoma coerulescens,flsjay,Species,20214,,,4.571428571,7,committed,,https://ebird.org/profile/MjE1MDQx,2605,3647,https://macaulaylibrary.org/asset/86158331,https://ebird.org/view/checklist/S42595408,https://ebird.org/species/flsjay
86363181,Photo,Aphelocoma coerulescens,Florida Scrub-Jay,,Noah Frade,2/17/18,2018,2,17,1325,United States,Florida,Volusia,Lyonia Preserve,28.9238,-81.2266,,Unknown,,Not Used,,,,,,,S42886872,,,,,,,,,Aphelocoma coerulescens,flsjay,Species,20214,,,4.8,5,committed,,https://ebird.org/profile/NTk0ODY4,3648,5472,https://macaulaylibrary.org/asset/86363181,https://ebird.org/view/checklist/S42886872,https://ebird.org/species/flsjay
87288731,Photo,Aphelocoma coerulescens,Florida Scrub-Jay,,Davey Walters,2/21/18,2018,2,21,840,United States,Florida,Lee,"NW 26th Terrace, Cape Coral",26.7017,-82.0016,,Unknown,,Not Used,,,,,,,S43061406,,,,,Continuing birds.,,,,Aphelocoma coerulescens,flsjay,Species,20214,,,5,4,committed,,https://ebird.org/profile/MzQzNzU0,2915,4372,https://macaulaylibrary.org/asset/87288731,https://ebird.org/view/checklist/S43061406,https://ebird.org/species/flsjay
86158361,Photo,Aphelocoma coerulescens,Florida Scrub-Jay,,Ian Gardner,2/8/18,2018,2,8,1243,United States,Florida,Brevard,Canaveral National Seashore--pay station area,28.645,-80.6826,,Unknown,,Not Used,,,,,,,S42595408,,,,,,,,,Aphelocoma coerulescens,flsjay,Species,20214,,,4.333333333,6,committed,,https://ebird.org/profile/MjE1MDQx,2229,3121,https://macaulaylibrary.org/asset/86158361,https://ebird.org/view/checklist/S42595408,https://ebird.org/species/flsjay
86363151,Photo,Aphelocoma coerulescens,Florida Scrub-Jay,,Noah Frade,2/17/18,2018,2,17,1325,United States,Florida,Volusia,Lyonia Preserve,28.9238,-81.2266,,Unknown,,Not Used,,,,,,,S42886872,,,,,,,,,Aphelocoma coerulescens,flsjay,Species,20214,,,4.4,5,committed,,https://ebird.org/profile/NTk0ODY4,3081,4621,https://macaulaylibrary.org/asset/86363151,https://ebird.org/view/checklist/S42886872,https://ebird.org/species/flsjay
86158291,Photo,Aphelocoma coerulescens,Florida Scrub-Jay,,Ian Gardner,2/8/18,2018,2,8,1243,United States,Florida,Brevard,Canaveral National Seashore--pay station area,28.645,-80.6826,,Unknown,,Not Used,,,,,,,S42595408,,,,,,,,,Aphelocoma coerulescens,flsjay,Species,20214,,,4.4,5,committed,,https://ebird.org/profile/MjE1MDQx,2279,3191,https://macaulaylibrary.org/asset/86158291,https://ebird.org/view/checklist/S42595408,https://ebird.org/species/flsjay
90187431,Photo,Aphelocoma coerulescens,Florida Scrub-Jay,,Oscar Wilhelmy,3/17/18,2018,3,17,1608,United States,Florida,Lee,"BUOW, FSJA",26.7002,-81.9987,,Unknown,,Not Used,,,,,,,S43725961,,,,,Near house on 25th,,,,Aphelocoma coerulescens,flsjay,Species,20214,,,5,3,committed,,https://ebird.org/profile/NzcxOTYx,2672,4000,https://macaulaylibrary.org/asset/90187431,https://ebird.org/view/checklist/S43725961,https://ebird.org/species/flsjay
80788961,Photo,Aphelocoma coerulescens,Florida Scrub-Jay,,Peter Hawrylyshyn,1/6/18,2018,1,6,855,United States,Florida,Lee,"1241 NW 25th Ter, Cape Coral US-FL (26.6999,-82.0015)",26.6999,-82.0015,,Adult,,Not Used,,,,,,,S41670275,,,,,Known site,,,,Aphelocoma coerulescens,flsjay,Species,18837,,,5,3,committed,,https://ebird.org/profile/NDAzMTQ0,3294,3294,https://macaulaylibrary.org/asset/80788961,https://ebird.org/view/checklist/S41670275,https://ebird.org/species/flsjay
80651771,Photo,Aphelocoma coerulescens,Florida Scrub-Jay,,Philip Robinson,1/4/18,2018,1,4,855,United States,Florida,Brevard,Helen and Allan Cruickshank Sanctuary,28.2938,-80.7073,,Unknown,,Not Used,,,,,,,S41644148,,,,,,,,,Aphelocoma coerulescens,flsjay,Species,18837,,,5,3,committed,,https://ebird.org/profile/NDE4ODgy,3213,4819,https://macaulaylibrary.org/asset/80651771,https://ebird.org/view/checklist/S41644148,https://ebird.org/species/flsjay
