ML Catalog #,Format,Scientific Name,Common Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,State,County,Locality,Latitude,Longitude,Elevation (m),Age/Sex,Behaviors,Playback,Collected,Specimen ID,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed?,Air Temp,Water Temp,Comments,Observation Details,Class,Order,Family,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2 Display Name,Recordist 2 Profile URL,Average Community Rating,Number of Ratings,Asset State,Asset Tags,Contributor Profile URL,Original Image Height,Original Image Width,Specimen Page URL,eBird Checklist URL,ebird Species URL
90745991,Photo,Cyanocitta stelleri [diademata Group],Steller's Jay (Interior),,Bob Walker,3/21/18,2018,3,21,1042,United States,New Mexico,Los Alamos,Los Alamos Nature Center,35.885,-106.3063,,Adult,,Not Used,,,,,,,S43837398,,,,,"A sucker for peanuts in the shell, can't resist them.  Mimicking the call of a RTHA frequently.",,,,Cyanocitta stelleri,stejay2,Group,20193,,,4.8,10,committed,,https://ebird.org/profile/MjA0MDg0,1199,1800,https://macaulaylibrary.org/asset/90745991,https://ebird.org/view/checklist/S43837398,https://ebird.org/species/stejay
86126131,Photo,Cyanocitta stelleri [stelleri Group],Steller's Jay (Coastal),,Paul Fenwick,2/13/18,2018,2,13,1235,United States,California,Monterey,Big Sur River--Hwy 1 bridge,36.2503,-121.7866,,Unknown,,Not Used,,,,,,,S42736049,,,,,,,,,Cyanocitta stelleri,stejay1,Group,20188,,,4.307692308,13,committed,,https://ebird.org/profile/MzM1MjEw,2028,3380,https://macaulaylibrary.org/asset/86126131,https://ebird.org/view/checklist/S42736049,https://ebird.org/species/stejay
94932321,Photo,Cyanocitta stelleri,Steller's Jay,,Darren Clark,4/14/18,2018,4,14,723,United States,Idaho,Jefferson,Heise Hot Springs,43.6397,-111.6843,,Unknown,,Not Used,,,,,,,S44651627,,,,,,,,,Cyanocitta stelleri,stejay,Species,18816,,,4.833333333,6,committed,,https://ebird.org/profile/MTM5MTk4,1875,2500,https://macaulaylibrary.org/asset/94932321,https://ebird.org/view/checklist/S44651627,https://ebird.org/species/stejay
111701101,Photo,Cyanocitta stelleri,Steller's Jay,,Kyle Blaney,6/16/18,2018,6,16,1202,Canada,British Columbia,Central Kootenay,Stagleap Provincial Park,49.0619,-117.039,,Unknown,,Not Used,,,,,,,S46591948,,,,,,,,,Cyanocitta stelleri,stejay,Species,20187,,,4.833333333,6,committed,,https://ebird.org/profile/MzM5OTY3,1000,1500,https://macaulaylibrary.org/asset/111701101,https://ebird.org/view/checklist/S46591948,https://ebird.org/species/stejay
87366431,Photo,Cyanocitta stelleri,Steller's Jay,,Chris O'Connell,2/24/18,2018,2,24,955,United States,California,San Mateo,Thornewood OSP,37.3948,-122.253,,Unknown,,Not Used,,,,,,,S43160705,,,,,,,,,Cyanocitta stelleri,stejay,Species,20187,,,4.125,8,committed,,https://ebird.org/profile/MzEyMTgw,2236,2591,https://macaulaylibrary.org/asset/87366431,https://ebird.org/view/checklist/S43160705,https://ebird.org/species/stejay
87323491,Photo,Cyanocitta stelleri,Steller's Jay,,Susan Teefy,2/19/18,2018,2,19,954,United States,California,Contra Costa,Tilden Nature Area--Jewel Lake,37.9125,-122.269,,Unknown,,Not Used,,,,,,,S43153697,,,,,,,,,Cyanocitta stelleri,stejay,Species,20187,,,4.75,4,committed,,,2651,3977,https://macaulaylibrary.org/asset/87323491,https://ebird.org/view/checklist/S43153697,https://ebird.org/species/stejay
86851221,Photo,Cyanocitta stelleri,Steller's Jay,,Theodore Emery,2/6/18,2018,2,6,912,United States,California,Mendocino,Abhayagiri,39.3427,-123.2268,,Unknown,,Not Used,,,,,,,S42839312,,,,,,,,,Cyanocitta stelleri,stejay,Species,20187,,,4.75,4,committed,,https://ebird.org/profile/NzU5ODA0,3490,5374,https://macaulaylibrary.org/asset/86851221,https://ebird.org/view/checklist/S42839312,https://ebird.org/species/stejay
87366121,Photo,Cyanocitta stelleri,Steller's Jay,,Dan Waggoner,2/24/18,2018,2,24,1133,United States,Washington,Kitsap,Long Lake (Kitsap Co.),47.4841,-122.5905,,Unknown,,Not Used,,,,,,,S43146275,,,,,,,,,Cyanocitta stelleri,stejay,Species,20187,,,4.5,4,committed,,https://ebird.org/profile/MjI4MDQx,3528,4044,https://macaulaylibrary.org/asset/87366121,https://ebird.org/view/checklist/S43146275,https://ebird.org/species/stejay
98178151,Photo,Cyanocitta stelleri,Steller's Jay,,Gopi Krishna,4/29/18,2018,4,29,1200,United States,Colorado,Larimer,Rocky Mountain NP--Little Horseshoe Park,40.3918,-105.6083,,Unknown,,Not Used,,,,,,,S45275224,,,,,,,,,Cyanocitta stelleri,stejay,Species,18816,,,5,3,committed,,https://ebird.org/profile/NjY4MTAw,2181,1705,https://macaulaylibrary.org/asset/98178151,https://ebird.org/view/checklist/S45275224,https://ebird.org/species/stejay
92908101,Photo,Cyanocitta stelleri,Steller's Jay,,Jock McCracken,4/4/18,2018,4,4,935,Canada,British Columbia,Metro Vancouver,Mount Seymour Provincial Park,49.3605,-122.9518,,Adult,,Not Used,,,,,,,S44254994,,,,see forehead marks,Beautiful spot for Stellers to appear,,,,Cyanocitta stelleri,stejay,Species,18816,,,4.2,5,committed,,,544,578,https://macaulaylibrary.org/asset/92908101,https://ebird.org/view/checklist/S44254994,https://ebird.org/species/stejay
90746011,Photo,Cyanocitta stelleri [diademata Group],Steller's Jay (Interior),,Bob Walker,3/21/18,2018,3,21,1042,United States,New Mexico,Los Alamos,Los Alamos Nature Center,35.885,-106.3063,,Adult,,Not Used,,,,,,,S43837398,,,,,"A sucker for peanuts in the shell, can't resist them.  Mimicking the call of a RTHA frequently.",,,,Cyanocitta stelleri,stejay2,Group,18824,,,4.666666667,3,committed,,https://ebird.org/profile/MjA0MDg0,1199,1800,https://macaulaylibrary.org/asset/90746011,https://ebird.org/view/checklist/S43837398,https://ebird.org/species/stejay
90355961,Photo,Cyanocitta stelleri [coronata Group],Steller's Jay (Central American),,Isaias  Soliz,3/17/18,2018,3,17,626,Guatemala,Sololá,,Parque Ecologico Chuiraxamolo,14.7476,-91.2938,,Unknown,,Not Used,,,,,,,S43724078,,,,,,,,,Cyanocitta stelleri,stejay3,Group,20198,,,4.666666667,3,committed,,https://ebird.org/profile/NjE0MjM5,2341,2926,https://macaulaylibrary.org/asset/90355961,https://ebird.org/view/checklist/S43724078,https://ebird.org/species/stejay
84042181,Photo,Cyanocitta stelleri,Steller's Jay,,John Riegsecker,1/30/18,2018,1,30,818,United States,Washington,Mason,Theler Wetlands,47.4379,-122.8411,,Unknown,,Not Used,,,,,,,S42380330,,,,,,,,,Cyanocitta stelleri,stejay,Species,18816,,,4.666666667,3,committed,,https://ebird.org/profile/MjA0Nzcz,2133,1600,https://macaulaylibrary.org/asset/84042181,https://ebird.org/view/checklist/S42380330,https://ebird.org/species/stejay
82906811,Photo,Cyanocitta stelleri [diademata Group],Steller's Jay (Interior),,Lauri Taylor,1/21/18,2018,1,21,1511,United States,Utah,Salt Lake,LT's yard,40.6843,-111.7836,,Unknown,,Not Used,,,,,,,S42140913,,,,,,,,,Cyanocitta stelleri,stejay2,Group,18824,,,4.666666667,3,committed,,https://ebird.org/profile/NDg1NDYy,2245,2916,https://macaulaylibrary.org/asset/82906811,https://ebird.org/view/checklist/S42140913,https://ebird.org/species/stejay
117509581,Photo,Cyanocitta stelleri,Steller's Jay,,Roxanna Tessman,10/5/18,2018,10,5,730,United States,Oregon,Jackson,Ashland,42.1946,-122.7091,,Unknown,,Not Used,,,,,,,S48950400,,,,,,,,,Cyanocitta stelleri,stejay,Species,20187,,,4.666666667,3,committed,,,3456,5184,https://macaulaylibrary.org/asset/117509581,https://ebird.org/view/checklist/S48950400,https://ebird.org/species/stejay
83165911,Photo,Cyanocitta stelleri,Steller's Jay,,Garrett Lau,1/23/18,2018,1,23,1247,United States,California,Santa Clara,Vasona Lake County Park,37.2385,-121.971,,Unknown,,Not Used,,,,,,,S42186940,,,,,,,,,Cyanocitta stelleri,stejay,Species,18816,,,4.333333333,3,committed,,https://ebird.org/profile/ODE5MDY0,1050,1575,https://macaulaylibrary.org/asset/83165911,https://ebird.org/view/checklist/S42186940,https://ebird.org/species/stejay
107310881,Photo,Cyanocitta stelleri [diademata Group],Steller's Jay (Interior),,Nathan Tea,6/24/18,2018,6,24,650,United States,Colorado,Boulder,Rocky Mountain NP--Wild Basin area,40.2082,-105.5668,,Unknown,,Not Used,,,,,,,S46865522,,,,,,,,,Cyanocitta stelleri,stejay2,Group,20193,,,4.333333333,3,committed,,https://ebird.org/profile/NTM4OTUz,2127,3240,https://macaulaylibrary.org/asset/107310881,https://ebird.org/view/checklist/S46865522,https://ebird.org/species/stejay
102096561,Photo,Cyanocitta stelleri,Steller's Jay,,James Abel,5/26/18,2018,5,26,1030,United States,Washington,King,Juanita Bay Park,47.6982,-122.2102,,Unknown,,Not Used,,,,,,,S46046732,,,,,,,,,Cyanocitta stelleri,stejay,Species,18816,,,4.333333333,3,committed,,,2237,3284,https://macaulaylibrary.org/asset/102096561,https://ebird.org/view/checklist/S46046732,https://ebird.org/species/stejay
88127461,Photo,Cyanocitta stelleri [coronata Group],Steller's Jay (Central American),,Douglas Powless,1/21/18,2018,1,21,1330,Guatemala,Sacatepéquez,,Reserva Forestal Protectora de Manantiales Cordillera Alux--Parque Ecológico Cerro Alux,14.6102,-90.64,,Unknown,,Not Used,,,,,,,S43104632,,,,,,,,,Cyanocitta stelleri,stejay3,Group,20198,,,5,2,committed,,,3456,4608,https://macaulaylibrary.org/asset/88127461,https://ebird.org/view/checklist/S43104632,https://ebird.org/species/stejay
87638151,Photo,Cyanocitta stelleri,Steller's Jay,,Rob Woodward,2/24/18,2018,2,24,1000,United States,New Mexico,Bernalillo,Cibola NF -- Sandia Crest House,35.2101,-106.4492,,Unknown,,Not Used,,,,,,,S43224297,,,,,,,,,Cyanocitta stelleri,stejay,Species,20187,,,5,2,committed,,,3000,4000,https://macaulaylibrary.org/asset/87638151,https://ebird.org/view/checklist/S43224297,https://ebird.org/species/stejay
84384291,Photo,Cyanocitta stelleri [stelleri Group],Steller's Jay (Coastal),,Don Roberson,2/2/18,2018,2,2,856,United States,California,Monterey,"Palo Colorado (Private Road) Monterey, CA",36.3832,-121.859,,Adult,,Not Used,,,,,,,S42444822,,,,vigorous calling,,,,,Cyanocitta stelleri,stejay1,Group,18820,,,5,2,committed,,https://ebird.org/profile/MTA3OTY4,1400,1685,https://macaulaylibrary.org/asset/84384291,https://ebird.org/view/checklist/S42444822,https://ebird.org/species/stejay
83077781,Photo,Cyanocitta stelleri,Steller's Jay,,Josh Layfield,1/22/18,2018,1,22,831,United States,Oregon,Marion,Scotts Mills US-OR,45.0432,-122.666,,Unknown,,Not Used,,,,,,,S42160145,,,,,,,,,Cyanocitta stelleri,stejay,Species,18816,,,5,2,committed,,https://ebird.org/profile/Njg0OTAz,991,1487,https://macaulaylibrary.org/asset/83077781,https://ebird.org/view/checklist/S42160145,https://ebird.org/species/stejay
118760381,Photo,Cyanocitta stelleri [stelleri Group],Steller's Jay (Coastal),,Kathryn Keith,10/13/18,2018,10,13,1343,United States,Washington,Lewis,Mount Rainier NP--Narada Falls (Lewis Co.),46.7749,-121.7465,,Unknown,,Not Used,,,,,,,S49175767,,,,,,,,,Cyanocitta stelleri,stejay1,Group,20188,,,5,2,committed,,https://ebird.org/profile/MjM0ODU4,3166,4671,https://macaulaylibrary.org/asset/118760381,https://ebird.org/view/checklist/S49175767,https://ebird.org/species/stejay
118760351,Photo,Cyanocitta stelleri [stelleri Group],Steller's Jay (Coastal),,Kathryn Keith,10/13/18,2018,10,13,1343,United States,Washington,Lewis,Mount Rainier NP--Narada Falls (Lewis Co.),46.7749,-121.7465,,Unknown,,Not Used,,,,,,,S49175767,,,,,,,,,Cyanocitta stelleri,stejay1,Group,20188,,,5,2,committed,,https://ebird.org/profile/MjM0ODU4,3648,3901,https://macaulaylibrary.org/asset/118760351,https://ebird.org/view/checklist/S49175767,https://ebird.org/species/stejay
111701091,Photo,Cyanocitta stelleri,Steller's Jay,,Kyle Blaney,6/16/18,2018,6,16,1202,Canada,British Columbia,Central Kootenay,Stagleap Provincial Park,49.0619,-117.039,,Unknown,,Not Used,,,,,,,S46591948,,,,,,,,,Cyanocitta stelleri,stejay,Species,20187,,,5,2,committed,,https://ebird.org/profile/MzM5OTY3,1000,1500,https://macaulaylibrary.org/asset/111701091,https://ebird.org/view/checklist/S46591948,https://ebird.org/species/stejay
110924381,Photo,Cyanocitta stelleri,Steller's Jay,,Jerry McFetridge,8/9/18,2018,8,9,1247,Canada,British Columbia,Fraser-Fort George,"(55.3084,-122.6704)",55.3084,-122.6704,,Adult,,Not Used,,,,,,,S47754992,,,,,,,,,Cyanocitta stelleri,stejay,Species,20187,,,5,2,committed,,,3543,5314,https://macaulaylibrary.org/asset/110924381,https://ebird.org/view/checklist/S47754992,https://ebird.org/species/stejay
