ML Catalog #,Format,Scientific Name,Common Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,State,County,Locality,Latitude,Longitude,Elevation (m),Age/Sex,Behaviors,Playback,Collected,Specimen ID,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed?,Air Temp,Water Temp,Comments,Observation Details,Class,Order,Family,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2 Display Name,Recordist 2 Profile URL,Average Community Rating,Number of Ratings,Asset State,Asset Tags,Contributor Profile URL,Original Image Height,Original Image Width,Specimen Page URL,eBird Checklist URL,ebird Species URL
97658601,Photo,Aphelocoma woodhouseii [woodhouseii Group],Woodhouse's Scrub-Jay (Woodhouse's),,Johanna Beam,1/4/18,2018,1,4,1029,United States,Colorado,Boulder,Hall Ranch- Antelope Dr,40.2275,-105.2963,,Unknown,,Not Used,,,,,,,S41624922,,,,,,,,,Aphelocoma woodhouseii,wooscj1,Group,20226,,,4.2,5,committed,,https://ebird.org/profile/NDU0MjYw,3456,5184,https://macaulaylibrary.org/asset/97658601,https://ebird.org/view/checklist/S41624922,https://ebird.org/species/wooscj2
93113261,Photo,Aphelocoma woodhouseii,Woodhouse's Scrub-Jay,,josh Ketry,4/5/18,2018,4,5,650,United States,Nevada,Clark,Red Rock Canyon NCA--White Rock Spring,36.1738,-115.4798,,Unknown,,Not Used,,,,,,,S44288517,,,,,,,,,Aphelocoma woodhouseii,wooscj2,Species,18847.5,,,5,3,committed,,https://ebird.org/profile/ODM0NDI4,959,1199,https://macaulaylibrary.org/asset/93113261,https://ebird.org/view/checklist/S44288517,https://ebird.org/species/wooscj2
90618301,Photo,Aphelocoma woodhouseii,Woodhouse's Scrub-Jay,,Tyler Ficker,3/15/18,2018,3,15,832,United States,Texas,Blanco,Pedernales Falls State Park (HOTE 050),30.3031,-98.2435,,Adult,,Not Used,,,,,,,S43667769,,,,,,,,,Aphelocoma woodhouseii,wooscj2,Species,18847.5,,,5,3,committed,,https://ebird.org/profile/MjIzNjAx,3278,4912,https://macaulaylibrary.org/asset/90618301,https://ebird.org/view/checklist/S43667769,https://ebird.org/species/wooscj2
84480991,Photo,Aphelocoma woodhouseii,Woodhouse's Scrub-Jay,,Sharyn Isom,2/2/18,2018,2,2,830,United States,Utah,Wasatch,Deer Creek Reservoir -- Rail Tracks & River Parkway,40.4802,-111.486,,Unknown,,Not Used,,,,,,,S42462843,,,,,,,,,Aphelocoma woodhouseii,wooscj2,Species,18847.5,,,5,3,committed,,,3000,4000,https://macaulaylibrary.org/asset/84480991,https://ebird.org/view/checklist/S42462843,https://ebird.org/species/wooscj2
83795661,Photo,Aphelocoma woodhouseii,Woodhouse's Scrub-Jay,,Mike Stewart,1/28/18,2018,1,28,1100,United States,Texas,Kimble,South Llano River SP (HOTW 093),30.4392,-99.8129,,Unknown,,Not Used,,,,,,,S42315379,,,,,,,,,Aphelocoma woodhouseii,wooscj2,Species,20225,,,5,3,committed,,,2127,3191,https://macaulaylibrary.org/asset/83795661,https://ebird.org/view/checklist/S42315379,https://ebird.org/species/wooscj2
82198731,Photo,Aphelocoma woodhouseii,Woodhouse's Scrub-Jay,,Michael Henry,1/14/18,2018,1,14,1245,United States,New Mexico,Santa Fe,Santa Fe backyard,35.7009,-106.0073,,Unknown,,Not Used,,,,,,,S41964142,,,,,,,,,Aphelocoma woodhouseii,wooscj2,Species,18847.5,,,5,3,committed,,,800,1200,https://macaulaylibrary.org/asset/82198731,https://ebird.org/view/checklist/S41964142,https://ebird.org/species/wooscj2
104055021,Photo,Aphelocoma woodhouseii,Woodhouse's Scrub-Jay,,Adit N,3/18/18,2018,3,18,1320,United States,Utah,Kane,Zion NP -- East Rim Trail,37.2429,-112.8734,,Unknown,,Not Used,,,,,,,S43771200,,,,,Observation point,,,,Aphelocoma woodhouseii,wooscj2,Species,20225,,,5,3,committed,,https://ebird.org/profile/OTU1OTY3,3252,3839,https://macaulaylibrary.org/asset/104055021,https://ebird.org/view/checklist/S43771200,https://ebird.org/species/wooscj2
90618391,Photo,Aphelocoma woodhouseii,Woodhouse's Scrub-Jay,,Tyler Ficker,3/15/18,2018,3,15,832,United States,Texas,Blanco,Pedernales Falls State Park (HOTE 050),30.3031,-98.2435,,Adult,,Not Used,,,,,,,S43667769,,,,,,,,,Aphelocoma woodhouseii,wooscj2,Species,18847.5,,,4.666666667,3,committed,,https://ebird.org/profile/MjIzNjAx,,,https://macaulaylibrary.org/asset/90618391,https://ebird.org/view/checklist/S43667769,https://ebird.org/species/wooscj2
91732081,Photo,Aphelocoma woodhouseii,Woodhouse's Scrub-Jay,,James Mccoy,3/26/18,2018,3,26,1352,United States,Colorado,El Paso,Garden of the Gods Park,38.8769,-104.8828,,Unknown,,Not Used,,,,,,,S43989016,,,,,,,,,Aphelocoma woodhouseii,wooscj2,Species,18847.5,,,4.333333333,3,committed,,https://ebird.org/profile/Mzk5NzU5,2058,3000,https://macaulaylibrary.org/asset/91732081,https://ebird.org/view/checklist/S43989016,https://ebird.org/species/wooscj2
82129621,Photo,Aphelocoma woodhouseii,Woodhouse's Scrub-Jay,,Mike Stewart,1/15/18,2018,1,15,850,United States,Texas,Kimble,South Llano River SP (HOTW 093),30.4392,-99.8129,,Unknown,,Not Used,,,,,,,S41929706,,,,,,,,,Aphelocoma woodhouseii,wooscj2,Species,18847.5,,,4.333333333,3,committed,,,1270,1905,https://macaulaylibrary.org/asset/82129621,https://ebird.org/view/checklist/S41929706,https://ebird.org/species/wooscj2
